city	region	latitude	longitude
Rome	Lazio		
Milan	Lombardy		
Naples	Campania		
Turin	Piedmont		
Palermo	Sicily	38.1321	13.3356
Genoa	Liguria		
Bologna	Emilia-Romagna	44.4938	11.3387
Florence	Tuscany		
Venice	Veneto		
Verona	Veneto	45.4299	10.9844
Bari	Apulia	41.1115	16.8554
Catania	Sicily	37.4922	15.0704
Pisa	Tuscany	43.7085	10.4036
Parma	Emilia-Romagna	44.7994	10.3262
Trieste	Friuli Venezia Giulia	45.6495	13.7768
Modena	Emilia-Romagna	44.6478	10.9254
Perugia	Umbria	43.1122	12.3888
Ravenna	Emilia-Romagna	44.4134	12.2012
Ferrara	Emilia-Romagna	44.838	11.6206
Ancona	Marche	43.5942	13.5034
Lecce	Apulia	40.3548	18.1724
Bergamo	Lombardy	45.696	9.6672
Trento	Trentino-Alto Adige	46.0679	11.1211
Bolzano	Trentino-Alto Adige	46.4907	11.3398
Udine	Friuli Venezia Giulia	46.0693	13.2371
Salerno	Campania	40.6755	14.7933
Reggio Calabria	Calabria	38.1105	15.6613
Messina	Sicily	38.1939	15.5526
Livorno	Tuscany	43.5443	10.3262
Cagliari	Sardinia	39.2305	9.1192
Sassari	Sardinia	40.7259	8.5555
Rimini	Emilia-Romagna	44.0575	12.5653
Marina di Casal Velino	Campania		
Alba	Piedmont	44.6999	8.0347
Sorrento	Campania	40.6238	14.381
Matera	Basilicata	40.666	16.6046
Cervesina	Lombardy	45.0605	9.0168
Popoli	Abruzzo	42.1687	13.83
Bibbiena	Tuscany	43.6988	11.8147
Cesenatico	Emilia-Romagna	44.1999	12.3991
Castiglione della Pescaia	Tuscany		
Trescore Balneario	Lombardy	45.6941	9.8417
Gragnano	Campania	40.6891	14.5204
Gragnano	Campania	43.8673	10.6454
Noceto	Emilia-Romagna	44.8095	10.1773
Fossò	Veneto		
Cava de' Tirreni	Campania		
San Casciano dei Bagni	Tuscany		
Pieve d'Alpago	Veneto		
Ponza	Lazio	40.8954	12.9589
Mules	Trentino-Alto Adige	46.8536	11.5214
Senago	Lombardy	45.5756	9.1262
Laveno	Lombardy	45.9089	8.6204
Isera	Trentino-Alto Adige	45.8876	11.0092
Alghero	Sardinia	40.5597	8.3195
Lucarelli	Tuscany	43.5177	11.3123
Stresa	Piedmont	45.8816	8.5383
Savona	Liguria	44.309	8.4772
Cavi di Lavagna	Liguria		
Vico Equense	Campania	40.6598	14.4339
Pescara	Abruzzo	42.4584	14.2028
Cuneo	Piedmont	44.3907	7.5483
Loreto	Marche	45.696	9.6672
Loreto	Marche	43.4362	13.6123
San Giuliano Milanese	Lombardy	45.394	9.2911
Barate	Lombardy		
Lucca	Tuscany	43.8437	10.5045
Pieve di Cento	Emilia-Romagna		
Dossobuono	Veneto	45.3933	10.9105
Monfumo	Veneto	45.8308	11.9203
Paestum	Campania	40.4223	15.0073
Marina di Pietrasanta	Tuscany		
Suvereto	Tuscany	43.0767	10.6774
Moniga del Garda	Lombardy		
Forte dei Marmi	Tuscany		
Monforte d'Alba	Piedmont		
Spilimbergo	Friuli Venezia Giulia	46.1134	12.8924
Limone Piemonte	Piedmont	44.2009	7.5786
Novara	Piedmont	45.4469	8.6212
Putignano	Apulia	40.8511	17.1219
Putignano	Apulia	43.6766	10.4046
Orbassano	Piedmont	45.0055	7.5381
Santa Vittoria d'Alba	Piedmont		
Sansepolcro	Tuscany	43.5726	12.1386
Moena	Trentino-Alto Adige	46.3765	11.6594
Castiglione delle Stiviere	Lombardy		
Ranco	Lombardy	45.7973	8.5711
Marina di Pulsano	Apulia		
San Severo	Apulia	44.3688	11.9013
San Severo	Apulia	41.6856	15.3815
Marostica	Veneto	45.7454	11.6624
Sappada	Veneto	46.5666	12.6842
Rubano	Veneto	45.4251	11.7915
Fagnano Olona	Lombardy	45.6698	8.8599
Tricesimo	Friuli Venezia Giulia	46.1606	13.2157
Riva del Garda	Trentino-Alto Adige		
Spirano	Lombardy	45.5814	9.6686
Positano	Campania	40.6283	14.4843
Villandro	Trentino-Alto Adige	46.6309	11.5381
Spoleto	Umbria	42.7407	12.739
Gaiole in Chianti	Tuscany		
Telese	Campania		
Fiera di Primiero	Trentino-Alto Adige		
Minervino Murge	Apulia	41.0826	16.0786
Pesaro	Marche	43.9092	12.9164
Induno Olona	Lombardy	45.8457	8.8406
La Morra	Piedmont	44.6379	7.9308
Santa Reparata	Tuscany	44.1595	11.7929
Oneglia	Liguria	43.8903	8.0434
Godia	Friuli Venezia Giulia	46.1014	13.2678
Suna	Piedmont		
